sun;sunlight;50.0
automobile;car;50.0
river;water;49.0
stairs;staircase;49.0
morning;sunrise;49.0
rain;storm;49.0
cat;kittens;49.0
dance;dancers;49.0
camera;photography;49.0
cat;feline;48.0
sunny;sunshine;48.0
pregnancy;pregnant;48.0
beach;sand;48.0
bakery;bread;48.0
flowers;garden;48.0
grass;lawn;48.0
copper;metal;48.0
photos;photography;47.0
cemetery;graveyard;47.0
gravestone;graveyard;47.0
sun;sunshine;47.0
black;dark;47.0
cathedral;church;47.0
frozen;ice;47.0
station;subway;47.0
children;kids;46.0
aquarium;fish;46.0
light;lighting;46.0
fungi;mushrooms;46.0
frost;snow;46.0
burn;flame;46.0
ocean;sea;46.0
candy;chocolate;46.0
car;vehicle;46.0
concert;music;46.0
photos;picture;46.0
grapes;wine;46.0
bath;bathroom;46.0
buds;flowers;46.0
cat;kitty;46.0
ocean;water;46.0
aircraft;airplane;46.0
butterfly;caterpillars;46.0
hair;wig;46.0
blossom;buds;46.0
highway;road;46.0
bunny;rabbit;46.0
bread;sandwich;46.0
mist;misty;46.0
flowers;petals;46.0
airplane;flight;46.0
fish;fishing;46.0
ice;snow;46.0
bright;sun;45.0
shade;tree;45.0
bicycle;bike;45.0
truck;vehicle;45.0
shore;water;45.0
boat;fishing;45.0
dog;puppy;45.0
bride;wedding;45.0
birds;hummingbird;45.0
sea;water;45.0
cow;milk;45.0
birds;feathers;45.0
skate;skating;45.0
chapel;church;45.0
branch;twigs;45.0
concert;musicians;45.0
clothes;dress;45.0
automobile;vehicle;45.0
splash;swimming;45.0
bed;furniture;45.0
aircraft;flight;45.0
reptiles;snake;45.0
motorcycle;scooter;45.0
coffee;tea;45.0
feathers;goose;45.0
pool;swimming;45.0
eyes;face;45.0
dirt;dirty;45.0
railway;train;45.0
harbour;port;45.0
fruit;strawberry;45.0
flight;plane;45.0
smoke;smoking;45.0
ivy;plant;45.0
river;stream;45.0
lake;water;45.0
kittens;kitty;45.0
snow;snowman;45.0
dog;terrier;45.0
daffodils;flowers;45.0
pond;water;45.0
show;television;44.0
handwriting;written;44.0
flood;water;44.0
jazz;musicians;44.0
eagle;feathers;44.0
